experiment	metric	value
E0001	val_auc	1.0
E0001	val_pr_auc	1.0
E0001	val_logloss	0.08124605971480528
E0001	val_brier	0.02944192223042137
E0001	val_lift_top10	2.5
E0001	val_best_threshold	0.72
E0001	val_f1_at_best	1.0
E0001	wall_seconds	0.008734941482543945
E0001	min_proba_std	0.47412742666667057
E0001	proba_range	0.999996759770367
E0001	proba_unique_values	20
E0001	model_path	models/best_primary_E0001_0.0294419_8b1092a59995.joblib
E0002	val_auc	0.8333333333333334
E0002	val_pr_auc	0.8068452380952381
E0002	val_logloss	0.5226958746759502
E0002	val_brier	0.17810407752516869
E0002	val_lift_top10	2.5
E0002	val_best_threshold	0.35000000000000003
E0002	val_f1_at_best	0.7272727272727273
E0002	wall_seconds	0.008700847625732422
E0002	min_proba_std	0.24988475743210822
E0002	proba_range	0.7866310292802312
E0002	proba_unique_values	20
E0003	val_auc	1.0
E0003	val_pr_auc	1.0
E0003	val_logloss	0.09866009146607757
E0003	val_brier	0.024708510477911554
E0003	val_lift_top10	2.5
E0003	val_best_threshold	0.48000000000000004
E0003	val_f1_at_best	1.0
E0003	wall_seconds	0.011276960372924805
E0003	min_proba_std	0.4372430487803854
E0003	proba_range	0.9975149208446621
E0003	proba_unique_values	20
E0003	model_path	models/best_primary_E0003_0.0247085_5da90e2d18fd.joblib
E0004	val_auc	1.0
E0004	val_pr_auc	1.0
E0004	val_logloss	0.15123717836315378
E0004	val_brier	0.04489086755314931
E0004	val_lift_top10	2.5
E0004	val_best_threshold	0.9400000000000001
E0004	val_f1_at_best	1.0
E0004	wall_seconds	0.00817108154296875
E0004	min_proba_std	0.48062451589414257
E0004	proba_range	0.9999950275286279
E0004	proba_unique_values	20
E0005	val_auc	1.0
E0005	val_pr_auc	1.0
E0005	val_logloss	0.07792805975302527
E0005	val_brier	0.026958074026812225
E0005	val_lift_top10	2.5
E0005	val_best_threshold	0.56
E0005	val_f1_at_best	1.0
E0005	wall_seconds	0.009858131408691406
E0005	min_proba_std	0.467040818909828
E0005	proba_range	0.9999771344365181
E0005	proba_unique_values	20
E0006	val_auc	1.0
E0006	val_pr_auc	1.0
E0006	val_logloss	0.12658201272218392
E0006	val_brier	0.036123634194823104
E0006	val_lift_top10	2.5
E0006	val_best_threshold	0.66
E0006	val_f1_at_best	1.0
E0006	wall_seconds	0.018377065658569336
E0006	min_proba_std	0.4347354937004953
E0006	proba_range	0.993120426867865
E0006	proba_unique_values	20
E0007	val_auc	1.0
E0007	val_pr_auc	1.0
E0007	val_logloss	0.08903283197366382
E0007	val_brier	0.03318702582233081
E0007	val_lift_top10	2.5
E0007	val_best_threshold	0.8
E0007	val_f1_at_best	1.0
E0007	wall_seconds	0.014921903610229492
E0007	min_proba_std	0.4816162130863914
E0007	proba_range	1.0
E0007	proba_unique_values	4
E0008	val_auc	1.0
E0008	val_pr_auc	1.0
E0008	val_logloss	0.1513704317897935
E0008	val_brier	0.042258962907593775
E0008	val_lift_top10	2.5
E0008	val_best_threshold	0.6
E0008	val_f1_at_best	1.0
E0008	wall_seconds	0.01129603385925293
E0008	min_proba_std	0.4176609965339433
E0008	proba_range	0.9878736773902047
E0008	proba_unique_values	20
E0009	val_auc	1.0
E0009	val_pr_auc	1.0
E0009	val_logloss	0.13528923008676058
E0009	val_brier	0.03905530394574081
E0009	val_lift_top10	2.5
E0009	val_best_threshold	0.59
E0009	val_f1_at_best	1.0
E0009	wall_seconds	0.009291887283325195
E0009	min_proba_std	0.4301793112907241
E0009	proba_range	0.9922817809472155
E0009	proba_unique_values	20
E0010	val_auc	1.0
E0010	val_pr_auc	1.0
E0010	val_logloss	0.07719478160890672
E0010	val_brier	0.028669702134047535
E0010	val_lift_top10	2.5
E0010	val_best_threshold	0.68
E0010	val_f1_at_best	1.0
E0010	wall_seconds	0.03267621994018555
E0010	min_proba_std	0.47452416202333375
E0010	proba_range	1.0
E0010	proba_unique_values	4
E0011	val_auc	1.0
E0011	val_pr_auc	1.0
E0011	val_logloss	0.19502486815407427
E0011	val_brier	0.06894174544892472
E0011	val_lift_top10	2.5
E0011	val_best_threshold	0.89
E0011	val_f1_at_best	1.0
E0011	wall_seconds	0.021912813186645508
E0011	min_proba_std	0.46906000274989235
E0011	proba_range	0.9959393050916611
E0011	proba_unique_values	20
